date,price
20170724,928
20170725,928
20170731,928
20170907,795
20170909,772
20170914,795
20170916,772
20170924,798
20171008,798
20171018,798
20171020,798
20171022,798
20171024,795
20171026,772
20171027,798
20171030,772
20171031,772
20171101,772
20171030,772
20171031,772
20171103,772
20171104,772
20171105,772
20171106,772
20171107,772
20171108,798
20171109,798
20171110,772
20171111,772
20171112,772
20171113,772
20171114,772
20171115,798
20171116,798
20171117,772
20171118,772
20171119,772
20171120,772
20171121,772
20171122,798
20171123,798
20171124,772
20171125,772
20171126,772
20171127,772
20171128,772
20171204,798
20171205,798
20171206,798
20171207,798
20171208,798
20171209,798
20171210,798
20171211,798
20171214,798
20171215,798
20180111,795
20180114,795
20180115,795
20180116,795
20180117,795
20180118,795
20180119,798
20180120,798
20180121,772
20180122,772
20180123,772
20180124,772
20180125,772
20180126,798
20180127,798
20180128,798
20180129,772
20180130,772
20180131,772
