npsn,nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telp_sekolah,akreditasi,latitude,longitude
20104464,SDN Pulau Harapan 01 Pg.,Pulau Harapan Rt. 004/02,Pulau Harapan,Kepulauan Seribu Utara,182,16,"MAN US, S.Pd.",,A,-5.653600,106.579803
20105361,SDN Kemanggisan 14,Jl. Kemanggisan Ilir II No. 9,Kemanggisan,Palmerah,347,16,,,A,-6.188200,106.794098
20105487,SDN Semanan 07 Pt.,Jl. Raya Semanan,Semanan,Kalideres,259,12,MURSIYEM,,A,-6.159629,106.705223
20105281,SDN Kamal 06 Pg.,Jl. Bakti Pramuka,Kamal,Kalideres,413,15,"ANAH NUNGHASANAH, S. Pd",,A,-6.100449,106.708122
20104474,SDN Pulau Tidung 02 Pg.,Jl. Lapangan Hijau,Pulau Tidung,Kepulauan Seribu Selatan,126,13,YUSLI MASHUDI,,A,-5.796363,106.495781
69775729,SDI Ar Rofi'iyyah,Jl. H. Sulaiman No. 40,Cipinang Melayu,Makasar,138,7,IRFAN ABDUL HILMI,,B,,
20104476,SDN Pulau Tidung 04 Pg.,Jl. Pulau Payung,Pulau Tidung,Kepulauan Seribu Selatan,18,10,"MUSLIM, S.Pd.",,B,,
20108939,SDS High Scope Ind. Unit Alfa Indah,Jl. Taman Alfa Indah Blok A/9,Joglo,Kembangan,152,23,Caroline Mathilda,,A,-6.217622,106.750320
20104668,SDN Petojo Utara 09 Pg.,Jl. Petojo Barat IV. No. 45,Petojo Utara,Gambir,247,11,"DEDE SUKARTINAH, S.Pd,MM",,A,-6.164429,106.811058
20104814,SDS Santo Bellarminus,Jl. Lombok No. 58,Gondangdia,Menteng,208,21,"SR. Magdalinda, CIJ",021 3101991,A,-6.196952,106.833252
20100459,SDN Paseban 03 Pg.,Jl. Kramat Sawah VI,Paseban,S e n e n,282,18,"Lombardini, S.Pd",021 3108118,C,-6.195088,106.851486
20100539,SDN Kenari 07 Pg.,Jl. Salemba Raya No. 18,Kenari,S e n e n,525,27,"Imanita Tresno Wulan, S.Pd, MM",021 3142022,A,-6.193979,106.849358
20104768,SDS Kwitang I PSKD,Jl. Tmn. Kb. Sirih III No. 46A,Kampung Bali,Tanah Abang,31,10,Sri Kristianna Ginting SPd,021 3143249,B,-6.188330,106.813995
20104812,SDS Santa Theresia,Jl. Haji Agus Salim No. 75,Gondangdia,Menteng,573,41,"Sr. Herlina Nogo Manuk, OSU",021 3145794,A,-6.189999,106.825417
20104802,SDS Perguruan Cikini,Jl. Cikini Raya No. 74-76,Cikini,Menteng,307,30,,021 3146374,A,-6.191937,106.838509
20104642,SDNP Menteng 03 Pg.,Jl. Cilacap No. 5,Menteng,Menteng,350,18,AKHMAD SOLIKHIN,021 3147961,A,-6.198210,106.837646
20104801,SDS Perg. Advent Salemba,Jl. Salemba Raya No. 47,Paseban,S e n e n,1,6,"Jenny Lumban Gaol,MA",021 3150116,B,-6.197015,106.851387
20104715,SDS Al Badar,Jl. Menteng Sukabumi IV/ 75,Menteng,Menteng,370,17,"Abdul Rozaq, S.Sos.I",021 3152183,B,-6.204301,106.840996
20104571,SDN Kampung Bali 01 Pg.,Jl. Jatibaru Raya No. 10,Kampung Bali,Tanah Abang,267,16,"Dra. Eti Herawati, M.Pd",021 3155345,B,-6.181741,106.814957
20104769,SDS Kwitang II PSKD,Jl. Kramat IV/29,Kenari,S e n e n,104,12,Damasti Siagian,021 3155811,A,-6.186557,106.841591
20104530,SDN Gondangdia 03 Pg.,Jl. Probolinggo No. 20,Gondangdia,Menteng,240,14,"RAHMAT,S.Pd",021 3157588,A,-6.195226,106.838341
20104743,SDS Hati Suci,Jl. Hati Suci No. 7,Kampung Bali,Tanah Abang,129,9,Ignatius Indriyanto,021 3157924,A,-6.183498,106.817421
20104808,SDS Said Na'um,Jl. K. H. Mas Mansur No. 25,Kebon Kacang,Tanah Abang,102,19,"AGUNG GUSTAMAN,S.Pd.,M.M.",021 3161082,B,-6.191198,106.816795
