npsn,nama_sekolah,alamat,jumlah_guru,kepala_sekolah,telp_sekolah,latitude,longitude
6975776,TK ISLAM AL WARDAH,Jl. H. Naman No. 22,6,"SITTA LASTYA FEBRIANI,S.Pd",021 8647950,,
18904027,PAUD TUNAS,Jl. Ungaran Ujung,,,0813 81015551,,
20100421,TK ISLAM TSAQOFAH ISLAMIYYAH,Jl. SMPN 160 No. 32,3,"Yanti Siswantari, S.Pd.",021 93301767,-6.313166,106.888878
20106159,TK SATU ATAP MELATI SDN PONDOK LABU 016 PG,Jl. Pondok Labu IA,2,,021 7658590,,
20109563,TK CAHAYA MUGHNI,JL. Lapangan Tembak Gg Rukun II,4,"SUKARNI,S.Pd.I",021 8710452,,
20109564,TK ISLAM NABILA,Jl. Masjid H. Shobirin No. 11,3,"Siti Khodijah, S.Pd.AUD.",021 87717447,-6.3597,106.879066
20109577,TK KEMALA BHAYANGKARI 26,Jl. Komp. POLRI,5,"Widiati, S.Pd.",021 84597094,,
20109578,TK. ANUGERAH,Jl. Pondok Ranggon,1,,021 8458930,,
20109583,TK TERPADU TURFA,Jl. TPU Pondok Ranggon,3,Baiduri Nilawati,021 84310787,,
20109586,TK KUPU KUPU,Jl. Kupu kupu No. 12 A,4,Destia Rusjayanti,021 8457563,,
20109588,TK ARFANDA,Jl. Buni No. 85,4,YULIDA SRI PURWATI,021 8442255,,
20109589,TK AISYIYAH BUSTANUL ATHFAL 86,Jl. Flamboyan B.P. No. 16 17,8,"Sri Aseh Kadir,S.PdI",021 84590803,,
20109590,TK ARAFAH,Jl. Raya Cilangkap No. 3,7,"Dra. Siti Aisah, S.Pd.",021 8445809,,
20109591,TK ISLAM RIYADHOTUS SHOLIHAT,Jl. As Syafi'yah No. 46,2,"YOYOH,S.Pd..S.PdI",021 84307417,,
20109592,TK NUR HUDA,Jl. Suralaya No. 30,3,Mulia Hartawati S.Pdi,021 98345197,,
20109595,TK BAITUL ILMI,Jl. Ali No. 21,2,"ATIKAH, S.Pd.I",021 8443270,-6.336282,106.890076
20109597,TK PELITA,"Jl. Raya Cipayung kav DKI,BLOK B9/10",2,"Rita Yuni Hartati,S.Pd",021 70399741,,
20109601,TK MEKAR WANGI,Jl. Angkasa No. 14,2,RIDA WAHYUNI,021 84301465,,
20109602,TK KARTIKA VIII 40,Jl. Raya Ceger No. 20 Puspom,2,"SRI WIDARTI, S.Pd",0813 17973199,,
20109603,TK ISLAM AR ROHMAN,Jl. Mangga No. 12,3,Hj. Siti Zahriyah,021 84307941,,
20109605,TK ISLAM ATTAUFIQ,Jl. Raya Gempol No. 10,4,Dra. Uti Maryati,021 8441235,,
20109607,TK ISLAM AL FATHONAH,Jl. SMP 160 No. 29,3,Turiyah Nidaul Khoiriyah,0812 80401470,,
20109608,TK ISLAM BUNAYYA,Jl. Raya Ceger No. 7,4,Susi Yulia Puspanaya,0815 20953821,,
20109611,TK NURLAMORA,Jl. Tengki No. 3,3,Nursalam Napitupulu,0813 85150070,,
20109613,TK KRISTEN TIRTAMARTA BPK PENABUR,4,,,,,
20109614,TK TAMAN SAKTI,Jl. Mini III,3,Rifnidar,0821 10768707,,
