pairid,origin,destination,time_dep,time_arr,changes,dur,products,comments,tripdur,traintype_ice,traintype_ic
1,"Aachen Hbf","Aalen","6:51 AM","11:25 AM",2,"4:34","RE, ICE, RE","",274,1,0
1,"Aachen Hbf","Aalen","9:51 AM","3:25 PM",3,"5:34","RE, EC, ICE, RE","",334,1,0
1,"Aachen Hbf","Aalen","7:39 AM","12:25 PM",2,"4:46","ICE, ICE, RE","",286,1,0
1,"Aachen Hbf","Aalen","8:51 AM","1:25 PM",2,"4:34","RE, ICE, RE","",274,1,0
1,"Aachen Hbf","Aalen","8:51 AM","2:55 PM",4,"6:04","RE, ICE, RB, EC, IC","",364,1,1
1,"Aachen Hbf","Aalen","7:51 AM","1:25 PM",3,"5:34","RE, EC, ICE, RE","",334,1,0
1,"Aachen Hbf","Aalen","9:51 AM","2:25 PM",3,"4:34","RE, ICE, ICE, RE","",274,1,0
1,"Aachen Hbf","Aalen","7:51 AM","12:55 PM",2,"5:04","RE, ICE, IC","",304,1,1
1,"Aachen Hbf","Aalen","7:51 AM","12:25 PM",3,"4:34","RE, ICE, ICE, RE","",274,1,0
1,"Aachen Hbf","Aalen","9:51 AM","2:55 PM",2,"5:04","RE, ICE, IC","",304,1,1
1,"Aachen Hbf","Aalen","6:56 AM","12:55 PM",2,"5:59","RE, EC, IC","",359,0,1
2,"Aachen Hbf","Ahrweiler","6:18 AM","8:47 AM",2,"2:29","RE, RE, RB","",149,0,0
2,"Aachen Hbf","Ahrweiler","9:18 AM","11:47 AM",2,"2:29","RE, RE, RB","",149,0,0
2,"Aachen Hbf","Ahrweiler","7:39 AM","9:47 AM",2,"2:08","ICE, RE, RB","",128,1,0
2,"Aachen Hbf","Ahrweiler","6:56 AM","9:26 AM",2,"2:30","RE, EC, RB","",150,0,0
2,"Aachen Hbf","Ahrweiler","8:39 AM","10:47 AM",2,"2:08","THA, RE, RB","",128,0,0
2,"Aachen Hbf","Ahrweiler","7:51 AM","10:26 AM",2,"2:35","RE, IC, RB","",155,0,1
2,"Aachen Hbf","Ahrweiler","8:51 AM","11:26 AM",2,"2:35","RE, ICE, RB","",155,1,0
3,"Aachen Hbf","Aichach","6:56 AM","2:12 PM",2,"7:16","RE, EC, BRB","",436,0,0
3,"Aachen Hbf","Aichach","7:39 AM","1:38 PM",2,"5:59","ICE, ICE, BRB","",359,1,0
3,"Aachen Hbf","Aichach","8:51 AM","2:42 PM",2,"5:51","RE, ICE, BRB","",351,1,0
3,"Aachen Hbf","Aichach","8:51 AM","4:12 PM",4,"7:21","RE, ICE, RB, EC, BRB","",441,1,0
3,"Aachen Hbf","Aichach","6:28 AM","12:38 PM",3,"6:10","RE, ICE, ICE, BRB","",370,1,0
3,"Aachen Hbf","Aichach","6:51 AM","1:38 PM",2,"6:47","RE, ICE, BRB","",407,1,0
3,"Aachen Hbf","Aichach","7:51 AM","2:42 PM",3,"6:51","RE, EC, ICE, BRB","",411,1,0
3,"Aachen Hbf","Aichach","9:18 AM","3:38 PM",3,"6:20","RE, ICE, ICE, BRB","",380,1,0
3,"Aachen Hbf","Aichach","7:51 AM","1:38 PM",3,"5:47","RE, ICE, ICE, BRB","",347,1,0
3,"Aachen Hbf","Aichach","7:51 AM","3:12 PM",3,"7:21","RE, EC, IC, BRB","",441,0,1
3,"Aachen Hbf","Aichach","8:39 AM","2:38 PM",4,"5:59","THA, RB, ICE, ICE, BRB","",359,1,0
3,"Aachen Hbf","Aichach","8:18 AM","2:38 PM",3,"6:20","RE, ICE, ICE, BRB","",380,1,0
3,"Aachen Hbf","Aichach","6:51 AM","12:42 PM",2,"5:51","RE, ICE, BRB","",351,1,0
4,"Aachen Hbf","Altenburg","7:39 AM","2:49 PM",3,"7:10","ICE, IC, RE, RE","",430,1,1
4,"Aachen Hbf","Altenburg","7:39 AM","3:08 PM",2,"7:29","ICE, IC, RE","",449,1,1
